clusterName,binary_genes,rf_feature_importance,cluster_median,binary_score
endothelial cell,ENSG00000127329,0.11800986803189562,2.4591775,1.0
endothelial cell,ENSG00000172889,0.09390309679935928,1.9255736,1.0
endothelial cell,ENSG00000102755,0.08886160547792128,2.127809,1.0
endothelial cell,ENSG00000120156,0.0718976815892181,1.654434,1.0
endothelial cell,ENSG00000162618,0.06209474230873779,1.44939,1.0
endothelial cell,ENSG00000261371,0.06190451096776332,2.0092802,1.0
endothelial cell,ENSG00000164035,0.048482428983576284,2.4176733,1.0
endothelial cell,ENSG00000106991,0.03499436756237704,1.9495533,1.0
endothelial cell,ENSG00000251322,0.03250860716841419,1.2981215,1.0
endothelial cell,ENSG00000065054,0.027744111782018376,1.2698066,1.0
podocyte,ENSG00000151490,0.07218824874201768,4.122931,1.0
podocyte,ENSG00000153246,0.05375991964288811,3.7359467,1.0
podocyte,ENSG00000139304,0.048216520760559906,3.7399502,1.0
podocyte,ENSG00000161270,0.04744150123501124,2.6819224,1.0
podocyte,ENSG00000116218,0.04599121643688885,2.7815402,1.0
podocyte,ENSG00000112782,0.04299937586377013,3.1110823,1.0
podocyte,ENSG00000162631,0.031916906034063844,2.889145,1.0
podocyte,ENSG00000230027,0.031154207514374057,1.6352079,1.0
podocyte,ENSG00000113578,0.026650624021580464,2.4211714,1.0
podocyte,ENSG00000145808,0.022074853607829573,1.8312649,1.0
epithelial cell of proximal tubule,ENSG00000183747,0.10067648929244778,2.2130816,1.0
epithelial cell of proximal tubule,ENSG00000066813,0.08330780194661745,1.8383055,1.0
epithelial cell of proximal tubule,ENSG00000166825,0.06472968100107664,1.0722481,1.0
epithelial cell of proximal tubule,ENSG00000149124,0.05798439877840149,0.9898324,1.0
epithelial cell of proximal tubule,ENSG00000107611,0.04895899550990805,2.4188375,1.0
epithelial cell of proximal tubule,ENSG00000124568,0.037978776141755884,1.0087514,1.0
epithelial cell of proximal tubule,ENSG00000174827,0.033762030741884615,1.3412533,1.0
epithelial cell of proximal tubule,ENSG00000165449,0.030429089637587826,1.0734146,1.0
epithelial cell of proximal tubule,ENSG00000145692,0.026312517086507288,0.44058233,1.0
epithelial cell of proximal tubule,ENSG00000130707,0.024371204371788226,0.58900785,1.0
neural cell,ENSG00000179915,0.15278084167881947,4.631314,1.0
neural cell,ENSG00000071991,0.1040535871230237,2.633957,1.0
neural cell,ENSG00000136546,0.05284593337397718,2.609234,1.0
neural cell,ENSG00000164418,0.037030879320385804,2.6887724,1.0
neural cell,ENSG00000181938,0.03384413192912465,0.8954633,1.0
neural cell,ENSG00000206579,0.032509207601493124,3.328327,1.0
neural cell,ENSG00000175785,0.03069161662667543,1.9506353,1.0
neural cell,ENSG00000154654,0.029268563835001902,1.6776822,1.0
neural cell,ENSG00000198597,0.025368790087553102,2.5169883,1.0
neural cell,ENSG00000146938,0.021805833019677322,2.0029519,1.0
parietal epithelial cell,ENSG00000000971,0.11334320877638543,2.1407554,1.0
parietal epithelial cell,ENSG00000128918,0.06615363023483209,1.7664897,1.0
parietal epithelial cell,ENSG00000163347,0.02887064407781123,0.61961997,1.0
parietal epithelial cell,ENSG00000162692,0.027651907281578313,1.3745472,1.0
parietal epithelial cell,ENSG00000168785,0.02533948527446375,0.61884797,1.0
parietal epithelial cell,ENSG00000109861,0.016882670546602998,1.0372664,1.0
parietal epithelial cell,ENSG00000079337,0.016555764538850513,1.0725735,1.0
parietal epithelial cell,ENSG00000118523,0.058457967826670364,1.9545308,0.9719323062896729
parietal epithelial cell,ENSG00000078328,0.041359956133138115,0.94577307,0.96
parietal epithelial cell,ENSG00000162366,0.014784419187259326,0.74499905,0.96
papillary tips cell,ENSG00000176153,0.04880401009571032,0.9241821,1.0
papillary tips cell,ENSG00000173267,0.021658695301365785,0.84200734,1.0
papillary tips cell,ENSG00000164266,0.015545690171085706,1.2353709,1.0
papillary tips cell,ENSG00000102554,0.015389591928485834,0.9988886,1.0
papillary tips cell,ENSG00000112378,0.013774613691086434,1.531765,1.0
papillary tips cell,ENSG00000089356,0.012474034474263464,0.81719184,1.0
papillary tips cell,ENSG00000163435,0.010280321967618796,1.9166679,0.9853450059890747
papillary tips cell,ENSG00000132170,0.012563617424247426,0.959481,0.9806753635406494
papillary tips cell,ENSG00000137648,0.009982137492085194,0.7390845,0.9672995257377625
papillary tips cell,ENSG00000160213,0.014488623027331069,1.7133594,0.9657372212409974
